symbol,year,total_return,annual_return,benchmark_return,excess_return,max_drawdown,buy_signals,sell_signals,total_trades,profitable_trades,win_rate,profit_loss_ratio,avg_win,avg_loss,data_days,start_date,end_date
ADA_USDT,2025,-0.34092066377142616,-0.34092066377142616,-0.6383647798742138,0.29744411610278765,-0.36338389543428284,5,272,5,0,0.0,0.0,0.0,0.07559297188354511,365,2025-01-01,2025-12-31
NEAR_USDT,2025,-0.36682994505659583,-0.36682994505659583,-0.7135830495648883,0.34675310450829244,-0.36682994505659583,6,292,6,1,0.16666666666666666,0.07713278632148593,0.006446991404011547,0.08358302236277038,365,2025-01-01,2025-12-31
APT_USDT,2025,-0.5036846679851363,-0.5036846679851363,-0.8160753880266074,0.31239072004147106,-0.5036846679851363,7,332,7,1,0.14285714285714285,0.13336292100929242,0.014069264069264124,0.10549607014294332,365,2025-01-01,2025-12-31
UNI_USDT,2025,-0.5195427871441396,-0.5195427871441396,-0.5861765353290775,0.06663374818493795,-0.5306544170040539,8,266,8,2,0.25,0.8573487581711006,0.1232717356709524,0.14378248582748998,365,2025-01-01,2025-12-31
NEAR_USDT,2026,0.21409017713365586,1.8328875718303905,-0.24093423478795328,0.45502441192160914,0.0,2,55,2,2,1.0,0.0,0.10461453301127224,0.0,68,2026-01-01,2026-03-09
FIL_USDT,2026,0.0640332352713795,0.3953590220826677,-0.366824005394471,0.4308572406658505,0.0,2,55,2,2,1.0,0.0,0.031686014575017386,0.0,68,2026-01-01,2026-03-09
ATOM_USDT,2026,0.041545845079876687,0.24420333829796226,-0.1575640405993235,0.19910988567920018,0.0,2,50,2,2,1.0,0.0,0.02059448695574364,0.0,68,2026-01-01,2026-03-09
ALGO_USDT,2026,0.02496328928047009,0.14150661481911353,-0.3069883527454246,0.33195164202589467,0.0,1,57,1,1,1.0,0.0,0.024963289280470004,0.0,68,2026-01-01,2026-03-09
VET_USDT,2026,0.01984126984126977,0.11121959647798585,-0.37120938628158817,0.39105065612285794,0.0,1,64,1,1,1.0,0.0,0.019841269841269858,0.0,68,2026-01-01,2026-03-09
BCH_USDT,2026,0.003022759601706948,0.016332575508759772,-0.2505057316250844,0.25352849122679133,0.0,1,55,1,1,1.0,0.0,0.0030227596017070512,0.0,68,2026-01-01,2026-03-09
SAND_USDT,2026,0.0016792611251050804,0.009046798472526207,-0.31111111111111056,0.31279037223621564,0.0,1,57,1,1,1.0,0.0,0.001679261125105002,0.0,68,2026-01-01,2026-03-09
FLOW_USDT,2026,0.0,0.0,-0.3854761904761902,0.3854761904761902,0.0,0,68,0,0,0.0,0.0,0.0,0.0,68,2026-01-01,2026-03-09
TRX_USDT,2026,0.0,0.0,-0.005224660397074921,0.005224660397074921,0.0,0,42,0,0,0.0,0.0,0.0,0.0,68,2026-01-01,2026-03-09
ICP_USDT,2026,-0.0025627068760536442,-0.013678943351486783,-0.18254497001998715,0.1799822631439335,-0.010350318471337494,2,57,2,1,0.5,0.7602721483741345,0.00786905886056025,0.010350318471337501,68,2026-01-01,2026-03-09
MANA_USDT,2026,-0.005698005698005715,-0.030206728506318448,-0.2957198443579766,0.2900218386599709,-0.005698005698005715,1,57,1,0,0.0,0.0,0.0,0.005698005698005664,68,2026-01-01,2026-03-09
LTC_USDT,2026,-0.015597286851985137,-0.08091852877002192,-0.3276228585719637,0.3120255717199786,-0.0297511720158673,2,66,2,1,0.5,0.49032999580045106,0.014587892049598693,0.029751172015867265,68,2026-01-01,2026-03-09
TON_USDT,2026,-0.016528925619834767,-0.08557776952274665,-0.21546635182998852,0.19893742621015376,-0.1222339304531086,1,51,1,0,0.0,0.0,0.0,0.016528925619834725,68,2026-01-01,2026-03-09
UNI_USDT,2026,-0.016531094200997076,-0.08558859239982386,-0.335341711137889,0.31881061693689194,-0.016531094200997076,1,59,1,0,0.0,0.0,0.0,0.01653109420099704,68,2026-01-01,2026-03-09
APT_USDT,2026,-0.021384082475583877,-0.10954903720712628,-0.4865879828326183,0.4652039003570344,-0.021384082475583877,2,55,2,0,0.0,0.0,0.0,0.01071672467273883,68,2026-01-01,2026-03-09
AVAX_USDT,2026,-0.022635976861610452,-0.1156463174220983,-0.31861662987490824,0.2959806530132978,-0.04046858359957395,2,55,2,1,0.5,0.45923780143711546,0.018584703359542515,0.040468583599574094,68,2026-01-01,2026-03-09
SOL_USDT,2026,-0.023845916756300767,-0.121506934172523,-0.33049645390070914,0.3066505371444084,-0.045848822800495515,2,55,2,1,0.5,0.5029614095603961,0.023060188542422092,0.04584882280049559,68,2026-01-01,2026-03-09
BNB_USDT,2026,-0.02390796197450873,-0.1218066101621259,-0.26579437522414706,0.24188641324963833,-0.031704869954464865,2,54,2,1,0.5,0.25397366425683576,0.008052201997121904,0.031704869954464886,68,2026-01-01,2026-03-09
ADA_USDT,2026,-0.036040674710999365,-0.1788305641827005,-0.28415147265077123,0.24811079793977187,-0.036040674710999365,2,65,2,0,0.0,0.0,0.0,0.01815674555470286,68,2026-01-01,2026-03-09
HBAR_USDT,2026,-0.04076923076923089,-0.2002217539251817,-0.17500437292286153,0.13423514215363064,-0.04086538461538458,2,61,2,1,0.5,0.0024531918030360543,0.00010025062656637716,0.040865384615384595,68,2026-01-01,2026-03-09
ETH_USDT,2026,-0.042874551548997,-0.2095988260819952,-0.3365998821645767,0.2937253306155797,-0.0637337571735358,2,54,1,0,0.0,0.0,0.0,0.042874551548997046,68,2026-01-01,2026-03-09
BTC_USDT,2026,-0.047793668549713675,-0.2311601895937484,-0.22970621924775447,0.1819125506980408,-0.047793668549713675,2,57,2,0,0.0,0.0,0.0,0.024120157451071565,68,2026-01-01,2026-03-09
LINK_USDT,2026,-0.057068421774304046,-0.2705112233392113,-0.2960317460317461,0.23896332425744204,-0.057068421774304046,2,63,2,0,0.0,0.0,0.0,0.028854152383564074,68,2026-01-01,2026-03-09
DOT_USDT,2026,-0.0657291503165387,-0.30576196407679423,-0.2526263131565777,0.186897162840039,-0.07701564380264736,2,55,2,1,0.5,0.15877632472825917,0.012228260869565076,0.07701564380264735,68,2026-01-01,2026-03-09
ETC_USDT,2026,-0.0662361325530465,-0.3077817142179885,-0.32338308457711384,0.25714695202406734,-0.0662361325530465,2,66,2,0,0.0,0.0,0.0,0.033602753742864394,68,2026-01-01,2026-03-09
DOGE_USDT,2026,-0.08329458651610744,-0.3730067350631886,-0.2865252700465194,0.20323068353041196,-0.08329458651610744,1,58,1,0,0.0,0.0,0.0,0.08329458651610758,68,2026-01-01,2026-03-09
XRP_USDT,2026,-0.15180168668540783,-0.5867629014265474,-0.2749082397999898,0.12310655311458196,-0.15180168668540783,1,56,1,0,0.0,0.0,0.0,0.15180168668540756,68,2026-01-01,2026-03-09
SHIB_USDT,2026,-0.1661272923408843,-0.622869759894521,-0.2734584450402139,0.10733115269932958,-0.1661272923408843,1,54,1,0,0.0,0.0,0.0,0.16612729234088447,68,2026-01-01,2026-03-09
SUI_USDT,2026,-0.17458813621769564,-0.6539301560215389,-0.3920249983017454,0.21743686208404978,-0.17632228583434006,1,52,1,0,0.0,0.0,0.0,0.17458813621769562,66,2026-01-01,2026-03-07
